,X,Y,FID,Hora,Fecha,Comuna,Cód_Tipo_,Cód_Tipo1,Cód_Zona,Cód_Ubica,Cód_Causa,Cód_Cau_1,Cód_Calza,Cód__Tipo,Cód_Estad,Cód_Condi,Cód_Est_1,Fallecidos,Graves,Menos_Grav,Leves,Encoded_mes,Encoded_comuna
0,-70.693825,-33.390476,411,00:10:00,01,RENCA,10,10,1,3,2,51,2,2,1,1,1,0,0,0,1,01,31
1,-70.782501,-33.529778,416,00:40:00,01,MAIPU,31,30,1,1,14,98,1,1,1,1,1,0,0,0,0,01,20
2,-70.574142,-33.635532,420,00:57:00,01,PIRQUE,32,30,1,1,4,24,2,1,1,1,1,0,0,0,1,01,24
3,-70.711365,-33.398804,421,01:00:00,01,RENCA,10,10,1,1,14,98,1,1,1,1,1,0,1,0,0,01,31
4,-70.73159,-33.362461,422,01:10:00,01,QUILICURA,34,30,1,14,10,65,2,1,1,1,1,0,0,0,1,01,28
5,-70.739334,-33.450245,423,01:30:00,01,PUDAHUEL,33,30,1,11,9,95,3,2,1,1,1,0,0,0,0,01,26
6,-70.535828,-33.477428,424,01:30:00,01,PEÑALOLEN,33,30,1,11,1,28,3,1,1,1,1,0,0,0,0,01,23
7,-70.747139,-33.486191,425,02:00:00,01,MAIPU,33,30,1,1,1,27,3,1,1,1,1,0,0,0,0,01,20
8,-70.625038,-33.457077,426,02:30:00,01,ÑUÑOA,32,30,1,11,14,98,2,2,1,1,1,0,0,0,0,01,39
9,-70.757652,-33.461281,427,02:40:00,01,PUDAHUEL,67,40,1,1,1,93,2,1,1,1,1,0,0,0,0,01,26
10,-70.66098,-33.449539,428,02:45:00,01,SANTIAGO,63,40,1,1,1,27,1,1,1,1,1,0,0,0,0,01,36
11,-70.747139,-33.486191,429,02:50:00,01,MAIPU,33,30,1,1,13,97,1,2,1,1,1,0,0,0,0,01,20
12,-70.6058396,-33.5567856,430,03:45:00,01,LA FLORIDA,51,40,1,26,9,95,2,1,1,1,1,0,0,0,1,01,10
